Distance_(microns),Gray_Value
0.0000,190.500
0.3250,184.289
0.6500,179.407
0.9750,176.291
1.3000,169.058
1.6250,163.238
1.9500,163.623
2.2750,162.864
2.6000,161.054
2.9250,157.973
3.2500,154.633
3.5750,151.349
3.9000,151.258
4.2250,149.548
4.5500,147.217
4.8750,145.693
5.2000,145.623
5.5250,148.728
5.8500,152.750
6.1750,154.700
6.5000,156.605
6.8250,159.339
7.1500,161.930
7.4750,164.370
7.8000,161.046
8.1250,144.246
8.4500,123.664
8.7750,103.199
9.1000,82.951
9.4250,64.602
9.7500,59.214
10.0750,61.568
10.4000,62.897
10.7250,63.125
11.0500,61.702
11.3750,59.066
11.7000,58.464
12.0250,55.990
12.3500,51.950
12.6750,48.508
13.0000,49.399
13.3250,51.098
13.6500,53.630
13.9750,54.177
14.3000,53.701
14.6250,54.375
14.9500,51.726
15.2750,50.311
15.6000,49.891
15.9250,47.795
16.2500,45.520
16.5750,43.565
16.9000,40.989
17.2250,37.424
17.5499,34.107
17.8749,32.228
18.1999,31.666
18.5249,30.500
18.8499,29.727
19.1749,29.012
19.4999,29.988
19.8249,33.736
20.1499,39.077
20.4749,46.889
20.7999,62.730
21.1249,83.452
21.4499,103.639
21.7749,119.841
22.0999,133.430
22.4249,143.005
22.7499,149.342
23.0749,152.198
23.3999,147.796
23.7249,143.416
24.0499,154.932
24.3749,168.636
24.6999,173.722
25.0249,173.046
25.3499,172.875
25.6749,175.304
25.9999,176.974
26.3249,175.593
26.6499,166.468
26.9749,154.027
27.2999,144.360
27.6249,136.008
27.9499,128.704
28.2749,129.225
28.5999,133.722
28.9249,141.140
29.2499,150.289
29.5749,158.988
29.8999,163.322
30.2249,163.450
30.5499,163.910
30.8749,167.750
31.1999,166.792
31.5249,162.130
31.8499,157.296
32.1749,155.198
32.4999,158.466
32.8249,162.437
33.1499,159.915
33.4749,147.972
33.7999,135.891
34.1249,126.235
34.4499,111.928
34.7749,95.603
35.0999,74.644
35.4249,60.047
35.7499,54.656
36.0749,54.589
36.3999,50.923
36.7249,47.156
37.0499,43.867
37.3749,41.689
37.6999,39.446
38.0249,38.010
38.3499,38.695
38.6749,40.554
38.9999,41.558
39.3249,42.750
39.6499,45.180
39.9749,46.760
40.2999,46.982
40.6249,48.653
40.9499,50.188
41.2749,50.003
41.5999,48.580
41.9249,46.906
42.2499,46.788
42.5749,45.701
42.8999,44.811
43.2249,43.872
43.5499,43.912
43.8749,44.427
44.1999,44.372
44.5249,45.864
44.8499,50.055
45.1749,51.798
45.4999,51.181
45.8249,51.361
46.1499,54.650
46.4749,60.174
46.7999,59.533
47.1249,60.503
47.4499,62.577
47.7749,61.488
48.0999,61.586
48.4249,60.170
48.7499,56.412
49.0749,52.069
49.3999,53.283
49.7249,55.344
50.0499,60.934
50.3749,71.330
50.6999,89.784
51.0249,117.802
51.3498,140.045
51.6749,151.611
51.9998,148.828
52.3248,147.679
52.6498,149.709
52.9748,153.302
53.2998,149.305
53.6248,131.348
53.9498,130.764
54.2748,138.724
54.5998,140.396
54.9248,136.759
55.2498,135.786
55.5748,138.483
55.8998,138.359
56.2248,143.420
56.5498,149.226
56.8748,151.375
57.1998,152.434
57.5248,156.321
57.8498,156.575
58.1748,153.279
58.4998,151.984
58.8248,154.423
59.1498,159.468
59.4748,157.961
59.7998,154.919
60.1248,152.982
60.4498,152.493
60.7748,153.680
61.0998,155.107
61.4248,155.238
61.7498,154.306
