Distance_(microns),Gray_Value
0.0000,149.0000
0.3250,149.7077
0.6500,149.8275
0.9750,148.8769
1.3000,148.1692
1.6250,147.2130
1.9500,146.5077
2.2750,145.0923
2.6000,144.1146
2.9250,143.7671
3.2500,143.8462
3.5750,142.4308
3.9000,141.5077
4.2250,140.8000
4.5500,140.0923
4.8750,139.3846
5.2000,138.1351
5.5250,136.8154
5.8500,132.5692
6.1750,127.5269
6.5000,119.0710
6.8250,112.0267
7.1500,105.5529
7.4750,100.3695
7.8000,98.0613
8.1250,95.9231
8.4500,94.4400
8.7750,93.1077
9.1000,93.8154
9.4250,94.0000
9.7500,94.9231
10.0750,97.7538
10.4000,97.1252
10.7250,96.4175
11.0500,95.8192
11.3750,94.2840
11.7000,94.2495
12.0250,93.9659
12.3500,93.2038
12.6750,92.2800
13.0000,89.9586
13.3250,88.9392
13.6500,87.6762
13.9750,87.6951
14.3000,89.4346
14.6250,92.2544
14.9500,95.4028
15.2750,96.0000
15.6000,96.0000
15.9250,96.8956
16.2500,97.0000
16.5750,97.0923
16.9000,97.8000
17.2250,98.2499
17.5500,98.3844
17.8750,98.9941
18.2000,99.6308
18.5250,101.1299
18.8500,105.6090
19.1750,128.6798
19.5000,142.7456
19.8250,149.4504
20.1500,150.0928
20.4750,149.5143
20.8000,149.7931
21.1250,150.0000
21.4500,151.4154
21.7750,152.4154
22.1000,152.8921
22.4250,152.8594
22.7500,152.7515
23.0750,152.8144
23.4000,152.9560
23.7250,153.8753
24.0500,155.0000
24.3750,154.9941
24.7000,154.3844
25.0250,151.7733
25.3500,151.0000
25.6750,151.0000
26.0000,150.7633
26.3250,151.0000
26.6500,150.9692
26.9750,150.2615
27.3000,149.5538
27.6250,148.8462
27.9500,148.1385
28.2750,145.7231
28.6000,140.6471
28.9250,129.2914
29.2500,115.8462
29.5750,107.8400
29.9000,103.3538
30.2250,99.1077
30.5500,95.6341
30.8750,92.1302
31.2000,90.1269
31.5250,87.4154
31.8500,85.5210
32.1750,83.8192
32.5000,82.2840
32.8250,81.7505
33.1500,81.6648
33.4750,81.0116
33.8000,79.2000
34.1250,77.1716
34.4500,76.0305
34.7750,76.9233
35.1000,77.0000
35.4250,77.0192
35.7500,77.7160
36.0750,78.8606
36.4000,80.1368
36.7250,81.8788
37.0500,85.1659
37.3750,88.0651
37.7000,91.4786
38.0250,96.2800
38.3500,104.8812
38.6750,116.8921
39.0000,122.4556
39.3250,126.3867
39.6500,128.6769
39.9750,130.1846
40.3000,133.0154
40.6250,134.4970
40.9500,133.8308
41.2750,133.1231
41.6000,132.7572
41.9250,133.0854
42.2500,134.0000
