Distance_(microns),Gray_Value
25.870,113.500
25.935,110.058
26.000,105.653
26.065,100.496
26.130,97.697
26.195,94.477
26.260,92.729
26.325,94.452
26.390,97.835
26.455,101.399
26.520,106.303
26.585,114.352
26.650,120.393
26.715,122.386
26.780,123.120
26.845,122.396
26.910,122.915
26.975,120.773
27.040,116.859
27.105,112.001
27.170,107.363
27.235,104.353
27.300,103.786
27.365,102.534
27.430,100.505
27.495,98.896
27.560,97.809
27.625,99.240
27.690,99.545
27.755,95.893
27.820,95.455
27.885,95.495
27.950,95.112
28.015,96.011
28.080,93.818
28.145,92.464
28.210,89.904
28.275,89.885
28.340,93.796
28.405,92.374
28.470,94.055
28.535,96.166
28.600,97.743
28.665,98.810
28.730,99.678
28.795,100.250
28.860,103.095
28.925,103.202
28.990,96.672
29.055,93.855
29.120,91.303
29.185,87.353
29.250,84.746
29.315,82.795
29.380,83.575
29.445,82.408
29.510,80.071
29.575,80.123
29.640,81.547
29.705,80.527
29.770,79.679
29.835,80.566
29.900,80.515
29.965,77.112
30.030,74.403
30.095,77.697
30.160,80.748
30.225,78.000
30.290,77.570
30.355,80.200
30.420,82.679
30.485,83.970
30.550,81.389
30.615,83.259
30.680,79.959
30.745,75.120
30.810,71.049
30.875,70.839
30.940,72.714
31.005,69.719
31.070,69.951
31.135,70.673
31.200,70.855
31.265,70.561
31.330,71.237
31.395,71.493
31.460,69.684
31.525,68.747
31.590,68.741
31.655,71.406
31.720,74.239
31.785,75.954
31.850,78.860
31.915,83.335
31.980,82.208
32.045,82.507
32.110,80.054
32.175,78.968
32.240,81.854
32.305,84.144
32.370,81.102
32.435,80.472
32.500,78.638
32.565,78.817
32.630,77.624
32.695,76.425
32.760,74.571
32.825,71.563
32.890,73.411
32.955,73.770
33.020,71.879
33.085,73.241
33.150,72.882
33.215,66.746
33.280,67.513
33.345,71.149
33.410,74.480
33.475,76.709
33.540,79.879
33.605,78.870
33.670,73.626
33.735,71.144
33.800,70.028
33.865,71.175
33.930,71.103
33.995,71.011
34.060,71.010
34.125,73.347
34.190,79.896
34.255,81.831
34.320,80.927
34.385,82.916
34.450,81.977
34.515,82.313
34.580,81.539
34.645,77.439
34.710,74.621
34.775,75.201
34.840,75.366
34.905,75.983
34.970,76.464
35.035,78.116
35.100,80.113
35.165,80.845
35.230,81.645
35.295,82.566
35.360,82.879
35.425,80.891
35.490,77.994
35.555,75.321
35.620,75.322
35.685,77.343
35.750,79.143
35.815,79.855
35.880,79.630
35.945,80.193
36.010,82.039
36.075,84.378
36.140,83.821
36.205,79.425
36.270,76.591
36.335,76.294
36.400,77.332
36.465,79.135
36.530,84.188
36.595,88.785
36.660,92.929
36.725,96.447
36.790,97.948
36.855,102.807
36.920,108.577
36.985,112.370
37.050,117.863
37.115,123.806
37.180,131.022
37.245,137.917
37.310,145.551
37.375,151.052
37.440,152.788
37.505,155.034
37.570,157.653
37.635,159.312
37.700,167.825
37.765,174.654
37.830,179.938
37.895,182.260
37.960,181.355
38.025,180.380
38.090,173.747
38.155,163.866
38.220,159.569
38.285,158.114
38.350,159.069
38.415,160.300
38.480,163.376
38.545,163.739
38.610,161.953
38.675,162.916
38.740,160.824
38.805,162.628
38.870,161.005
38.935,160.087
39.000,157.893
39.065,157.171
39.130,149.699
39.195,144.464
39.260,146.343
39.325,145.297
39.390,143.428
39.455,141.257
39.520,140.312
39.585,142.589
39.650,146.063
39.715,147.398
39.780,148.307
39.845,150.320
